id,author,pkg,version,elm_version,license,direct_dep_count,total_dep_count
3007,Orasund,Orasund/pixelengine,5.0.2,0.19.0,BSD-3-Clause,6,11
3008,jxxcarlson,jxxcarlson/elm-stat,4.0.1,0.19.0,BSD-3-Clause,8,26
3009,jxxcarlson,jxxcarlson/elm-stat,4.0.0,0.19.0,BSD-3-Clause,8,26
3010,Orasund,Orasund/pixelengine,5.0.1,0.19.0,BSD-3-Clause,6,11
3011,Orasund,Orasund/pixelengine,5.0.0,0.19.0,BSD-3-Clause,6,11
3012,annaghi,annaghi/dnd-list,4.0.1,0.19.0,BSD-3-Clause,4,8
3013,hecrj,hecrj/html-parser,2.1.0,0.19.0,BSD-3-Clause,5,7
3014,Arkham,Arkham/elm-chords,2.0.1,0.19.0,BSD-3-Clause,6,11
3015,jinjor,jinjor/elm-diff,1.0.6,0.19.0,BSD-3-Clause,1,2
3016,Arkham,Arkham/elm-chords,2.0.0,0.19.0,BSD-3-Clause,7,13
3017,FabienHenon,FabienHenon/elm-ckeditor5,1.2.0,0.19.0,MIT,3,5
3018,FabienHenon,FabienHenon/elm-ckeditor5,1.1.0,0.19.0,MIT,3,5
3019,NoRedInk,NoRedInk/noredink-ui,6.9.0,0.19.0,BSD-3-Clause,11,15
3020,FabienHenon,FabienHenon/elm-ckeditor5,1.0.3,0.19.0,MIT,3,5
3021,FabienHenon,FabienHenon/elm-ckeditor5,1.0.2,0.19.0,MIT,3,5
3022,FabienHenon,FabienHenon/elm-ckeditor5,1.0.1,0.19.0,MIT,3,5
3023,FabienHenon,FabienHenon/elm-ckeditor5,1.0.0,0.19.0,MIT,3,5
3024,jxxcarlson,jxxcarlson/elm-stat,3.1.0,0.19.0,BSD-3-Clause,8,26
3025,annaghi,annaghi/dnd-list,4.0.0,0.19.0,BSD-3-Clause,4,8
3026,jxxcarlson,jxxcarlson/elm-stat,3.0.0,0.19.0,BSD-3-Clause,3,5
3027,jonathanfishbein1,jonathanfishbein1/complex-numbers,1.0.0,0.19.0,BSD-3-Clause,2,4
